id_transaccion,id_cliente,region,monto,status,fecha,categoria
T001,1,CO,450.50,completada,2024-01-05,software
T002,2,MX,1200.00,completada,2024-01-06,servicio
T003,3,CO,800.75,cancelada,2024-01-06,hardware
T004,4,AR,320.00,completada,2024-01-07,software
T005,5,CO,95.00,pendiente,2024-01-08,servicio
T006,6,MX,670.00,completada,2024-01-08,hardware
T007,7,CL,330.00,completada,2024-01-09,software
T008,8,CO,1200.00,completada,2024-01-09,servicio
T009,9,AR,80.00,cancelada,2024-01-10,hardware
T010,10,MX,540.00,completada,2024-01-10,software
T011,1,CO,210.00,completada,2024-01-11,servicio
T012,2,MX,890.00,completada,2024-01-11,hardware
T013,3,CO,1450.00,completada,2024-01-12,software
T014,4,AR,290.00,pendiente,2024-01-12,servicio
T015,5,CO,0.00,cancelada,2024-01-13,hardware
T016,6,MX,760.00,completada,2024-01-13,software
T017,7,CL,430.00,completada,2024-01-14,servicio
T018,8,CO,980.00,completada,2024-01-14,hardware
T019,9,AR,120.00,completada,2024-01-15,software
T020,10,MX,650.00,completada,2024-01-15,servicio
